ID,WasteType,WasteAmount,Latitude,Longitude,Temperature,WeatherType,DateTime
1,Residual,9,51.576,4.796,17.4,Fog,2025-06-15 00:57:00
2,Plastic,7,51.576,4.796,15.5,Cloudy,2025-06-15 03:39:00
3,Plastic,5,51.571,4.808,15.9,Storm,2025-06-15 03:56:00
4,Plastic,10,51.597,4.772,16.8,Cloudy,2025-06-15 06:03:00
5,Cans,10,51.556,4.779,16.3,Rain,2025-06-15 10:25:00
6,Residual,5,51.602,4.779,15.9,Rain,2025-06-15 11:09:00
7,Plastic,10,51.612,4.756,15.1,Fog,2025-06-15 18:45:00
8,Residual,11,51.586,4.756,9.2,Cloudy,2025-06-15 21:22:00
9,Glass,7,51.571,4.808,25.9,Rain,2025-06-15 21:33:00
10,Paper/Cardboard,2,51.568,4.73,13.3,Rain,2025-06-16 00:15:00
11,Residual,13,51.5905,4.7745,21.7,Sunny,2025-06-16 02:48:00
12,Plastic,8,51.556,4.779,14.7,Storm,2025-06-16 07:40:00
13,Electronics,8,51.5886,4.7766,8.8,Cloudy,2025-06-16 08:34:00
14,Electronics,9,51.5905,4.7745,21.6,Fog,2025-06-16 09:50:00
15,Paper/Cardboard,10,51.556,4.824,15.8,Cloudy,2025-06-16 11:04:00
16,Paper/Cardboard,13,51.599,4.717,21.1,Sunny,2025-06-16 13:55:00
17,Residual,9,51.599,4.717,17.1,Sunny,2025-06-16 14:13:00
18,Electronics,7,51.576,4.796,11.1,Cloudy,2025-06-16 22:04:00
19,Plastic,6,51.573,4.766,17.2,Rain,2025-06-17 01:42:00
20,Plastic,9,51.5905,4.7745,17.0,Fog,2025-06-17 02:18:00
21,Paper/Cardboard,11,51.5905,4.7745,14.4,Fog,2025-06-17 13:17:00
22,Electronics,8,51.615,4.76,18.3,Sunny,2025-06-17 16:17:00
23,Electronics,9,51.5894,4.7757,19.6,Fog,2025-06-17 20:16:00
24,Paper/Cardboard,2,51.556,4.824,21.8,Rain,2025-06-17 21:41:00
25,Glass,5,51.573,4.766,16.5,Rain,2025-06-18 06:17:00
26,Residual,9,51.5955,4.78,11.8,Fog,2025-06-18 11:08:00
27,Plastic,8,51.5905,4.7745,16.7,Storm,2025-06-18 19:47:00
28,Residual,9,51.586,4.756,19.9,Sunny,2025-06-18 23:47:00
29,Paper/Cardboard,5,51.5905,4.801,17.5,Storm,2025-06-19 03:20:00
30,Residual,8,51.571,4.808,21.6,Fog,2025-06-19 06:01:00
31,Bulky,6,51.599,4.717,22.7,Fog,2025-06-19 07:55:00
32,Plastic,11,51.56,4.77,19.1,Cloudy,2025-06-19 13:21:00
33,Electronics,6,51.586,4.756,16.4,Rain,2025-06-19 14:31:00
34,Bulky,11,51.576,4.796,17.3,Sunny,2025-06-19 17:35:00
35,Plastic,10,51.586,4.756,14.8,Cloudy,2025-06-19 17:57:00
36,Cans,9,51.5886,4.7766,19.9,Cloudy,2025-06-20 03:06:00
37,Paper/Cardboard,7,51.579,4.743,17.0,Cloudy,2025-06-20 05:50:00
38,Cans,10,51.5887,4.775,12.7,Cloudy,2025-06-20 13:53:00
39,Paper/Cardboard,8,51.612,4.756,16.4,Rain,2025-06-20 17:25:00
40,Residual,12,51.56,4.77,24.1,Cloudy,2025-06-20 21:52:00
41,Cans,11,51.5886,4.7766,19.1,Cloudy,2025-06-21 09:54:00
42,Glass,9,51.573,4.766,21.5,Sunny,2025-06-21 12:15:00
43,Paper/Cardboard,12,51.597,4.772,19.4,Sunny,2025-06-21 12:27:00
44,Glass,9,51.556,4.824,10.6,Cloudy,2025-06-21 15:13:00
45,Bulky,5,51.602,4.779,15.8,Fog,2025-06-22 02:08:00
46,Bulky,7,51.55,4.812,12.4,Sunny,2025-06-22 03:32:00
47,Bulky,4,51.602,4.779,18.9,Rain,2025-06-22 06:28:00
48,Plastic,11,51.605,4.816,14.2,Sunny,2025-06-22 09:28:00
49,Cans,11,51.56,4.77,18.0,Cloudy,2025-06-22 23:14:00
50,Paper/Cardboard,14,51.5832,4.7842,15.3,Cloudy,2025-06-22 23:37:00
51,Glass,7,51.5886,4.7766,17.5,Storm,2025-06-23 05:22:00
